method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
AMSC-norm,86,3,0.41251373900600796,0.23558977846287618,0.35189648253111583,2.0,3.0,2.9607952637494983
AMSC-norm,86,4,0.6796735473484934,0.0,0.3203264526515066,2.0,3.0,2.93849218276973
AMSC-norm,86,5,0.7082545557204312,0.0,0.2917454442795687,2.25,3.25,3.1820272640935
AMSC-norm,87,3,0.49964886902091077,0.0644352388570636,0.43591589212202564,1.25,2.25,2.161777162606878
AMSC-norm,87,4,0.6843702454341756,0.0,0.3156297545658244,2.0,3.0,2.957094031763438
AMSC-norm,87,5,0.7315051947777225,0.0,0.26849480522227753,2.5,3.5,3.451083486037005
AMSC-norm,88,3,0.5318111733136135,0.11156452448662928,0.35662430219975727,1.5,2.5,2.371293708391004
AMSC-norm,88,4,0.7057293869474691,0.0,0.2942706130525308,2.0,3.0,2.9380584382972956
AMSC-norm,88,5,0.7164935978441448,0.05354257540040095,0.22996382675545432,3.0,4.0,3.903210801552994
AMSC-norm,89,3,0.4451974711781334,0.24052935941646614,0.3142731694054004,1.75,2.75,2.6507920114186048
AMSC-norm,89,4,0.45768861865228666,0.24320962975712138,0.299101751590592,2.5,3.5,3.4420807455674556
AMSC-norm,89,5,0.5448857654972786,0.12303189928751708,0.33208233521520436,2.5,3.5,3.466872407948678
AMSC-norm,90,3,0.4909581068317431,0.11971843370612564,0.38932345946213126,1.5,2.5,2.443078948249202
AMSC-norm,90,4,0.6649202938661583,0.0,0.3350797061338418,1.75,2.75,2.6962308849398626
AMSC-norm,90,5,0.6868672875254007,0.0,0.31313271247459934,2.0,3.0,2.942183734155227
AMSC-norm,91,3,0.33343986625877653,0.3374237719444982,0.3291363617967253,2.25,3.25,3.185880926747963
AMSC-norm,91,4,0.5583120094561611,0.12545318949715784,0.31623480104668106,2.25,3.25,3.1553863344309456
AMSC-norm,91,5,0.6865949340737553,0.0,0.31340506592624473,2.0,3.0,2.8692945392414546
AMSC-norm,92,3,0.43138486472699494,0.18667121232987005,0.38194392294313495,1.75,2.75,2.703088820505818
AMSC-norm,92,4,0.6370739224197062,0.0,0.3629260775802939,1.75,2.75,2.695642457214918
AMSC-norm,92,5,0.7506157312622985,0.0,0.24938426873770156,2.25,3.25,3.0999961699101863
