method,seed,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
AMSC-norm,86,0.6001472806916442,0.07852992615429207,0.3213227931540637,2.0833333333333335,3.0833333333333335,3.0271049035375763
AMSC-norm,87,0.6385081030776029,0.021478412952354534,0.34001348397004255,1.9166666666666667,2.9166666666666665,2.8566515601357736
AMSC-norm,88,0.6513447193684091,0.055035699962343414,0.2936195806692475,2.1666666666666665,3.1666666666666665,3.0708543160804314
AMSC-norm,89,0.4825906184425662,0.2022569628203682,0.31515241873706556,2.25,3.25,3.1865817216449126
AMSC-norm,90,0.6142485627411006,0.03990614456870855,0.34584529269019076,1.75,2.75,2.693831189114764
AMSC-norm,91,0.5261156032628976,0.154292320480552,0.31959207625655034,2.1666666666666665,3.1666666666666665,3.0701872668067876
AMSC-norm,92,0.6063581728029999,0.06222373744329002,0.3314180897537101,1.9166666666666667,2.9166666666666665,2.8329091492103076
