method,seed,run_dir,task_idx,task_name,family,depth,num_selection_events,relevant_prior_count,support_size,support_fraction,same_family_precision,same_family_recall,any_same_family,jaccard_stability,first_correct_found,selection_events_until_first_correct,steps_until_first_correct,steps_after_first_selection_until_first_correct
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,0,CurriculumMultiRoomObjectRemapEnv-BallLava-R2-v0,BallLava,2,0,0,0.0,,,,,,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,1,CurriculumMultiRoomObjectRemapEnv-LavaBall-R2-v0,LavaBall,2,200,0,1.0,1.0,0.0,,,1.0,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,2,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R2-v0,KeyBoxSwap,2,200,0,1.0,0.5,0.0,,,1.0,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,3,CurriculumMultiRoomObjectRemapEnv-Identity-R2-v0,Identity,2,200,0,1.0,0.33333333333333326,0.0,,,1.0,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,200,1,1.085,0.27125,0.9641666666666666,1.0,1.0,0.990787269681742,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,200,1,2.995,0.5989999999999999,0.3341666666666667,1.0,1.0,0.998324958123953,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,200,1,1.11,0.185,0.9516666666666665,1.0,1.0,0.9162479061976548,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,200,1,2.845,0.40642857142857136,0.3591666666666667,1.0,1.0,0.9396984924623115,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,200,2,2.015,0.251875,0.995,1.0,1.0,0.9949748743718593,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,200,2,2.025,0.22500000000000006,0.9933333333333333,1.0,1.0,0.9970686767169179,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,200,2,1.99,0.19899999999999998,1.0,0.995,1.0,0.9949748743718593,1.0,1.0,2560.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,200,2,2.52,0.22909090909090907,0.80825,0.8975,1.0,0.9197654941373533,1.0,1.0,2560.0,0.0
