method,depth,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-3,6,raw_parent_selected,0.9832142857142857,0.9729184936935943,0.9935100777349771,7
Mask-SC-3,6,raw_cap_utilization,1.0,1.0,1.0,7
Mask-SC-3,6,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-3,6,selected_similarity_mean,0.8257510995238094,0.8233118079632143,0.8281903910844045,7
Mask-SC-3,6,raw_selected_similarity_mean,0.8257510995238094,0.8233118079632143,0.8281903910844045,7
Mask-SC-3,6,threshold_qualified_count,4.0,4.0,4.0,7
Mask-SC-3,6,first_correct_found,1.0,1.0,1.0,7
Mask-SC-3,6,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-3,6,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-3,7,support_size,3.0,3.0,3.0,7
Mask-SC-3,7,support_fraction,0.13991389045736868,0.13991389045736868,0.13991389045736868,7
Mask-SC-3,7,same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,7,same_family_recall,0.6,0.6,0.6,7
Mask-SC-3,7,any_same_family,1.0,1.0,1.0,7
Mask-SC-3,7,parent_selected,0.9371428571428572,0.8811574423755567,0.9931282719101576,7
Mask-SC-3,7,family_pure_support,1.0,1.0,1.0,7
Mask-SC-3,7,jaccard_stability,0.8662698412698412,0.8272671305818721,0.9052725519578103,7
Mask-SC-3,7,cap_utilization,1.0,1.0,1.0,7
Mask-SC-3,7,raw_support_size,3.0,3.0,3.0,7
Mask-SC-3,7,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,7,raw_same_family_recall,0.6,0.6,0.6,7
Mask-SC-3,7,raw_parent_selected,0.9371428571428572,0.8811574423755567,0.9931282719101576,7
Mask-SC-3,7,raw_cap_utilization,1.0,1.0,1.0,7
Mask-SC-3,7,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-3,7,selected_similarity_mean,0.8295416142857144,0.8259000465163376,0.8331831820550911,7
Mask-SC-3,7,raw_selected_similarity_mean,0.8295416142857144,0.8259000465163376,0.8331831820550911,7
Mask-SC-3,7,threshold_qualified_count,5.0,5.0,5.0,7
Mask-SC-3,7,first_correct_found,1.0,1.0,1.0,7
Mask-SC-3,7,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-3,7,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-3,8,support_size,3.0,3.0,3.0,7
Mask-SC-3,8,support_fraction,0.11787393162393164,0.11787393162393162,0.11787393162393167,7
Mask-SC-3,8,same_family_precision,1.0,1.0,1.0,7
