method,seed,task_idx,support_size,count
Mask-SC-3,86,4,1,100
Mask-SC-3,86,5,1,100
Mask-SC-3,86,6,1,100
Mask-SC-3,86,7,1,100
Mask-SC-3,86,8,2,100
Mask-SC-3,86,9,2,100
Mask-SC-3,86,10,2,100
Mask-SC-3,86,11,2,100
Mask-SC-3,86,12,3,100
Mask-SC-3,86,13,3,100
Mask-SC-3,86,14,3,100
Mask-SC-3,86,15,3,100
Mask-SC-3,86,16,3,100
Mask-SC-3,86,17,3,100
Mask-SC-3,86,18,3,100
Mask-SC-3,86,19,3,100
Mask-SC-3,86,20,3,100
Mask-SC-3,86,21,3,100
Mask-SC-3,86,22,3,100
Mask-SC-3,86,23,3,100
Mask-SC-3,86,24,3,100
Mask-SC-3,86,25,3,100
Mask-SC-3,86,26,3,100
Mask-SC-3,86,27,3,100
Mask-SC-3,87,4,1,100
Mask-SC-3,87,5,1,100
Mask-SC-3,87,6,1,100
Mask-SC-3,87,7,1,100
Mask-SC-3,87,8,2,100
Mask-SC-3,87,9,2,100
Mask-SC-3,87,10,2,100
Mask-SC-3,87,11,2,100
Mask-SC-3,87,12,3,100
Mask-SC-3,87,13,3,100
Mask-SC-3,87,14,3,100
Mask-SC-3,87,15,3,100
Mask-SC-3,87,16,3,100
Mask-SC-3,87,17,3,100
Mask-SC-3,87,18,3,100
Mask-SC-3,87,19,3,100
Mask-SC-3,87,20,3,100
Mask-SC-3,87,21,3,100
Mask-SC-3,87,22,3,100
Mask-SC-3,87,23,3,100
Mask-SC-3,87,24,3,100
Mask-SC-3,87,25,3,100
Mask-SC-3,87,26,3,100
Mask-SC-3,87,27,3,100
Mask-SC-3,88,4,1,100
Mask-SC-3,88,5,1,100
Mask-SC-3,88,6,1,100
Mask-SC-3,88,7,1,100
Mask-SC-3,88,8,2,100
Mask-SC-3,88,9,2,100
Mask-SC-3,88,10,2,100
Mask-SC-3,88,11,2,100
Mask-SC-3,88,12,3,100
Mask-SC-3,88,13,3,100
Mask-SC-3,88,14,3,100
Mask-SC-3,88,15,3,100
Mask-SC-3,88,16,3,100
Mask-SC-3,88,17,3,100
Mask-SC-3,88,18,3,100
Mask-SC-3,88,19,3,100
Mask-SC-3,88,20,3,100
Mask-SC-3,88,21,3,100
Mask-SC-3,88,22,3,100
Mask-SC-3,88,23,3,100
Mask-SC-3,88,24,3,100
Mask-SC-3,88,25,3,100
