method,depth,metric,mean,ci_low,ci_high,n_seeds
AMSC-shuffled,2,support_size,0.7503571428571428,0.7496571428571428,0.7510571428571429,7
AMSC-shuffled,2,support_fraction,0.6113492063492064,0.6108825396825398,0.611815873015873,7
AMSC-shuffled,2,same_family_precision,0.0,0.0,0.0,7
AMSC-shuffled,2,same_family_recall,,,,0
AMSC-shuffled,2,any_same_family,,,,0
AMSC-shuffled,2,jaccard_stability,0.9968734968734968,0.9943350353482482,0.9994119583987454,7
AMSC-shuffled,2,first_correct_found,,,,0
AMSC-shuffled,2,selection_events_until_first_correct,,,,0
AMSC-shuffled,2,steps_until_first_correct,,,,0
AMSC-shuffled,3,support_size,1.0,1.0,1.0,7
AMSC-shuffled,3,support_fraction,0.18988095238095237,0.18988095238095237,0.18988095238095237,7
AMSC-shuffled,3,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,3,same_family_recall,1.0,1.0,1.0,7
AMSC-shuffled,3,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,3,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,3,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,4,support_size,1.9964285714285714,1.9894285714285715,2.0034285714285716,7
AMSC-shuffled,4,support_fraction,0.21311327561327564,0.21233549783549785,0.21389105339105344,7
AMSC-shuffled,4,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,4,same_family_recall,0.9982142857142857,0.9947142857142858,1.0,7
AMSC-shuffled,4,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,4,jaccard_stability,0.999098124098124,0.9973304473304473,1.0,7
AMSC-shuffled,4,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,4,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,4,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,5,support_size,2.7114285714285713,2.54520694227039,2.8776502005867526,7
AMSC-shuffled,5,support_fraction,0.20274339351125062,0.19058272347719468,0.21490406354530656,7
AMSC-shuffled,5,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,5,same_family_recall,0.9038095238095237,0.8484023140901299,0.9592167335289176,7
AMSC-shuffled,5,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,5,jaccard_stability,0.9760101010101011,0.9674695137322555,0.9845506882879467,7
AMSC-shuffled,5,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,5,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,5,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,6,support_size,2.827142857142857,2.664964776009801,2.9893209382759127,7
AMSC-shuffled,6,support_fraction,0.16358634791635954,0.1544185156683708,0.17275418016434826,7
AMSC-shuffled,6,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,6,same_family_recall,0.7067857142857142,0.6662411940024503,0.7473302345689782,7
AMSC-shuffled,6,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,6,jaccard_stability,0.9650974025974026,0.9493728051930238,0.9808220000017814,7
AMSC-shuffled,6,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,6,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,6,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,7,support_size,2.9435714285714285,2.6264549462919144,3.2606879108509426,7
AMSC-shuffled,7,support_fraction,0.13753103909548006,0.12256659843387044,0.15249547975708969,7
AMSC-shuffled,7,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,7,same_family_recall,0.5887142857142857,0.525290989258383,0.6521375821701885,7
AMSC-shuffled,7,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,7,jaccard_stability,0.9705808080808079,0.9587202702076484,0.9824413459539675,7
AMSC-shuffled,7,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,7,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,7,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,8,support_size,3.690357142857143,3.328904453467969,4.051809832246317,7
AMSC-shuffled,8,support_fraction,0.14486724664224665,0.13046779846240028,0.15926669482209302,7
AMSC-shuffled,8,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,8,same_family_recall,0.615059523809524,0.5548174089113284,0.6753016387077196,7
AMSC-shuffled,8,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,8,jaccard_stability,0.9770382395382395,0.9683201323757958,0.9857563467006832,7
AMSC-shuffled,8,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,8,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,8,steps_until_first_correct,512.0,512.0,512.0,7
