method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
AMSC-shuffled,0,F1-D2,support_size,0.0,0.0,0.0,7
AMSC-shuffled,0,F1-D2,support_fraction,,,,0
AMSC-shuffled,0,F1-D2,same_family_precision,,,,0
AMSC-shuffled,0,F1-D2,same_family_recall,,,,0
AMSC-shuffled,0,F1-D2,any_same_family,,,,0
AMSC-shuffled,0,F1-D2,jaccard_stability,,,,0
AMSC-shuffled,0,F1-D2,first_correct_found,,,,0
AMSC-shuffled,0,F1-D2,selection_events_until_first_correct,,,,0
AMSC-shuffled,0,F1-D2,steps_until_first_correct,,,,0
AMSC-shuffled,1,F2-D2,support_size,1.0,1.0,1.0,7
AMSC-shuffled,1,F2-D2,support_fraction,1.0,1.0,1.0,7
AMSC-shuffled,1,F2-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-shuffled,1,F2-D2,same_family_recall,,,,0
AMSC-shuffled,1,F2-D2,any_same_family,,,,0
AMSC-shuffled,1,F2-D2,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,1,F2-D2,first_correct_found,,,,0
AMSC-shuffled,1,F2-D2,selection_events_until_first_correct,,,,0
AMSC-shuffled,1,F2-D2,steps_until_first_correct,,,,0
AMSC-shuffled,2,F3-D2,support_size,1.0014285714285713,0.9986285714285713,1.0042285714285712,7
AMSC-shuffled,2,F3-D2,support_fraction,0.5007142857142857,0.49931428571428565,0.5021142857142856,7
AMSC-shuffled,2,F3-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-shuffled,2,F3-D2,same_family_recall,,,,0
AMSC-shuffled,2,F3-D2,any_same_family,,,,0
AMSC-shuffled,2,F3-D2,jaccard_stability,0.9906204906204906,0.9830051060447449,0.9982358751962364,7
AMSC-shuffled,2,F3-D2,first_correct_found,,,,0
AMSC-shuffled,2,F3-D2,selection_events_until_first_correct,,,,0
AMSC-shuffled,2,F3-D2,steps_until_first_correct,,,,0
AMSC-shuffled,3,F4-D2,support_size,1.0,1.0,1.0,7
AMSC-shuffled,3,F4-D2,support_fraction,0.3333333333333334,0.3333333333333334,0.3333333333333334,7
AMSC-shuffled,3,F4-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-shuffled,3,F4-D2,same_family_recall,,,,0
AMSC-shuffled,3,F4-D2,any_same_family,,,,0
AMSC-shuffled,3,F4-D2,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,3,F4-D2,first_correct_found,,,,0
AMSC-shuffled,3,F4-D2,selection_events_until_first_correct,,,,0
AMSC-shuffled,3,F4-D2,steps_until_first_correct,,,,0
AMSC-shuffled,4,F1-D3,support_size,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,support_fraction,0.25,0.25,0.25,7
AMSC-shuffled,4,F1-D3,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,4,F1-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,5,F2-D3,support_size,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,support_fraction,0.19999999999999996,0.19999999999999996,0.19999999999999996,7
AMSC-shuffled,5,F2-D3,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,5,F2-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,6,F3-D3,support_size,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,support_fraction,0.1666666666666667,0.1666666666666667,0.1666666666666667,7
AMSC-shuffled,6,F3-D3,same_family_precision,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,6,F3-D3,steps_until_first_correct,512.0,512.0,512.0,7
