current_family,F1,F2,F3,F4
F1,1.0,0.0,0.0,0.0
F2,0.0659941548034317,0.9340058451965683,0.0,0.0
F3,0.0017401392111368909,0.06602861562258314,0.93223124516628,0.0
F4,0.0,0.0595136881482741,0.0,0.9404863118517259
