method,metric,mean,ci_low,ci_high,n_seeds
AMSC-shuffled,support_size,2.274183673469388,2.197374863210842,2.3509924837279343,7
AMSC-shuffled,support_fraction,0.22373839406243992,0.22071391360345718,0.22676287452142266,7
AMSC-shuffled,same_family_precision,0.8888888888888891,0.8888888888888888,0.8888888888888893,7
AMSC-shuffled,same_family_recall,0.8020972222222224,0.7879757457497586,0.8162186986946861,7
AMSC-shuffled,any_same_family,1.0,1.0,1.0,7
AMSC-shuffled,jaccard_stability,0.9830340441451552,0.9794336207638275,0.9866344675264829,7
AMSC-shuffled,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-shuffled,steps_until_first_correct,512.0,512.0,512.0,7
