method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,support_fraction,0.25,0.25,0.25,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,cap_utilization,0.25,0.25,0.25,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_cap_utilization,0.25,0.25,0.25,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,selected_similarity_mean,,,,0
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,threshold_qualified_count,,,,0
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,support_fraction,0.2,0.19999999999999998,0.20000000000000004,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,cap_utilization,0.25,0.25,0.25,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_cap_utilization,0.25,0.25,0.25,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,selected_similarity_mean,,,,0
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,threshold_qualified_count,,,,0
