method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
Mask-SC-oracle,86,3,0.5972446351429233,0.0,0.40275536485707675,1.0,2.0,1.9002433607692637
Mask-SC-oracle,86,4,0.7115630321857895,0.0,0.2884369678142104,2.0,3.0,2.920620906151102
Mask-SC-oracle,86,5,0.7699381724629185,0.0,0.23006182753708146,3.0,4.0,3.911805778534126
Mask-SC-oracle,87,3,0.5296081217160782,0.0,0.47039187828392187,1.0,2.0,1.977150882038896
Mask-SC-oracle,87,4,0.6711748103499977,0.0,0.32882518965000224,2.0,3.0,2.933809037552903
Mask-SC-oracle,87,5,0.7309036200853576,0.0,0.2690963799146424,3.0,4.0,3.956338973838276
Mask-SC-oracle,88,3,0.5913745688982855,0.0,0.40862543110171445,1.0,2.0,1.8778512480190783
Mask-SC-oracle,88,4,0.6893526999266216,0.0,0.3106473000733784,2.0,3.0,2.9305251489277273
Mask-SC-oracle,88,5,0.7427659485739921,0.0,0.25723405142600786,3.0,4.0,3.9312495350263643
Mask-SC-oracle,89,3,0.5706181216585973,0.0,0.4293818783414027,1.0,2.0,1.9249968435197577
Mask-SC-oracle,89,4,0.6913736056339871,0.0,0.3086263943660128,2.0,3.0,2.9204357757542807
Mask-SC-oracle,89,5,0.720973502953547,0.0,0.279026497046453,3.0,4.0,3.9585156388805585
Mask-SC-oracle,90,3,0.5094508184238432,0.0,0.4905491815761568,1.0,2.0,1.952913517137433
Mask-SC-oracle,90,4,0.6738119118902068,0.0,0.32618808810979316,2.0,3.0,2.9646977766461493
Mask-SC-oracle,90,5,0.7320049204587369,0.0,0.26799507954126306,3.0,4.0,3.966051259798443
Mask-SC-oracle,91,3,0.4770205653499594,0.0,0.5229794346500406,1.0,2.0,1.9884249272256191
Mask-SC-oracle,91,4,0.666659009924293,0.0,0.33334099007570706,2.0,3.0,2.964863474082207
Mask-SC-oracle,91,5,0.7544033405150473,0.0,0.24559665948495268,3.0,4.0,3.9455613072143825
Mask-SC-oracle,92,3,0.6025991103578463,0.0,0.39740088964215375,1.0,2.0,1.8885844195428831
Mask-SC-oracle,92,4,0.6950780806865043,0.0,0.3049219193134956,2.0,3.0,2.952836168780337
Mask-SC-oracle,92,5,0.7478267968465536,0.0,0.2521732031534464,3.0,4.0,3.9158126444444945
