method,seed,task_idx,support_size,count
Mask-SC-oracle,86,4,1,1000
Mask-SC-oracle,86,5,1,1000
Mask-SC-oracle,86,6,1,1000
Mask-SC-oracle,86,7,1,1000
Mask-SC-oracle,86,8,2,1000
Mask-SC-oracle,86,9,2,1000
Mask-SC-oracle,86,10,2,1000
Mask-SC-oracle,86,11,2,1000
Mask-SC-oracle,86,12,3,1000
Mask-SC-oracle,86,13,3,1000
Mask-SC-oracle,86,14,3,1000
Mask-SC-oracle,86,15,3,1000
Mask-SC-oracle,87,4,1,1000
Mask-SC-oracle,87,5,1,1000
Mask-SC-oracle,87,6,1,1000
Mask-SC-oracle,87,7,1,1000
Mask-SC-oracle,87,8,2,1000
Mask-SC-oracle,87,9,2,1000
Mask-SC-oracle,87,10,2,1000
Mask-SC-oracle,87,11,2,1000
Mask-SC-oracle,87,12,3,1000
Mask-SC-oracle,87,13,3,1000
Mask-SC-oracle,87,14,3,1000
Mask-SC-oracle,87,15,3,1000
Mask-SC-oracle,88,4,1,1000
Mask-SC-oracle,88,5,1,1000
Mask-SC-oracle,88,6,1,1000
Mask-SC-oracle,88,7,1,1000
Mask-SC-oracle,88,8,2,1000
Mask-SC-oracle,88,9,2,1000
Mask-SC-oracle,88,10,2,1000
Mask-SC-oracle,88,11,2,1000
Mask-SC-oracle,88,12,3,1000
Mask-SC-oracle,88,13,3,1000
Mask-SC-oracle,88,14,3,1000
Mask-SC-oracle,88,15,3,1000
Mask-SC-oracle,89,4,1,1000
Mask-SC-oracle,89,5,1,1000
Mask-SC-oracle,89,6,1,1000
Mask-SC-oracle,89,7,1,1000
Mask-SC-oracle,89,8,2,1000
Mask-SC-oracle,89,9,2,1000
Mask-SC-oracle,89,10,2,1000
Mask-SC-oracle,89,11,2,1000
Mask-SC-oracle,89,12,3,1000
Mask-SC-oracle,89,13,3,1000
Mask-SC-oracle,89,14,3,1000
Mask-SC-oracle,89,15,3,1000
Mask-SC-oracle,90,4,1,1000
Mask-SC-oracle,90,5,1,1000
Mask-SC-oracle,90,6,1,1000
Mask-SC-oracle,90,7,1,1000
Mask-SC-oracle,90,8,2,1000
Mask-SC-oracle,90,9,2,1000
Mask-SC-oracle,90,10,2,1000
Mask-SC-oracle,90,11,2,1000
Mask-SC-oracle,90,12,3,1000
Mask-SC-oracle,90,13,3,1000
Mask-SC-oracle,90,14,3,1000
Mask-SC-oracle,90,15,3,1000
Mask-SC-oracle,91,4,1,1000
Mask-SC-oracle,91,5,1,1000
Mask-SC-oracle,91,6,1,1000
Mask-SC-oracle,91,7,1,1000
Mask-SC-oracle,91,8,2,1000
Mask-SC-oracle,91,9,2,1000
Mask-SC-oracle,91,10,2,1000
Mask-SC-oracle,91,11,2,1000
Mask-SC-oracle,91,12,3,1000
Mask-SC-oracle,91,13,3,1000
Mask-SC-oracle,91,14,3,1000
Mask-SC-oracle,91,15,3,1000
Mask-SC-oracle,92,4,1,1000
Mask-SC-oracle,92,5,1,1000
Mask-SC-oracle,92,6,1,1000
Mask-SC-oracle,92,7,1,1000
Mask-SC-oracle,92,8,2,1000
Mask-SC-oracle,92,9,2,1000
Mask-SC-oracle,92,10,2,1000
Mask-SC-oracle,92,11,2,1000
Mask-SC-oracle,92,12,3,1000
Mask-SC-oracle,92,13,3,1000
Mask-SC-oracle,92,14,3,1000
Mask-SC-oracle,92,15,3,1000
