method,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-oracle,support_size,2.0,2.0,2.0,7
Mask-SC-oracle,support_fraction,0.2090515965515966,0.20905159655159655,0.20905159655159666,7
Mask-SC-oracle,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,cap_utilization,0.5,0.5,0.5,7
Mask-SC-oracle,raw_support_size,2.0,2.0,2.0,7
Mask-SC-oracle,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,raw_cap_utilization,0.5,0.5,0.5,7
Mask-SC-oracle,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,selected_similarity_mean,,,,0
Mask-SC-oracle,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,threshold_qualified_count,,,,0
Mask-SC-oracle,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,steps_until_first_correct,512.0,512.0,512.0,7
