method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
Mask-SC-oracle,86,3,0.5131215228376763,0.0,0.48687847716232363,1.0,2.0,1.996165855456936
Mask-SC-oracle,86,4,0.6777898640018081,0.0,0.322210135998192,2.0,3.0,2.9930842645141458
Mask-SC-oracle,86,5,0.7584023758569288,0.0,0.2415976241430712,3.0,4.0,3.990308745920099
Mask-SC-oracle,86,6,0.8000595477955474,0.0,0.19994045220445256,4.0,5.0,4.986418221203119
Mask-SC-oracle,86,7,0.8319752747420867,0.0,0.16802472525791334,5.0,6.0,5.98509560967433
Mask-SC-oracle,86,8,0.8521172026824995,0.0,0.14788279731750054,6.0,7.0,6.982567656904365
Mask-SC-oracle,87,3,0.5163525101970443,0.0,0.48364748980295574,1.0,2.0,1.9951766788878198
Mask-SC-oracle,87,4,0.6766706326711815,0.0,0.32332936732881845,2.0,3.0,2.9930493431855627
Mask-SC-oracle,87,5,0.7491069082378795,0.0,0.25089309176212055,3.0,4.0,3.9925576264252256
Mask-SC-oracle,87,6,0.8007746764843355,0.0,0.19922532351566447,4.0,5.0,4.9849192957922055
Mask-SC-oracle,87,7,0.831478702450633,0.0,0.16852129754936693,5.0,6.0,5.982918463281726
Mask-SC-oracle,87,8,0.8533305683932202,0.0,0.1466694316067798,6.0,7.0,6.979017834888353
Mask-SC-oracle,88,3,0.5184814219370217,0.0,0.48151857806297826,1.0,2.0,1.994853139263176
Mask-SC-oracle,88,4,0.6809366075096103,0.0,0.3190633924903897,2.0,3.0,2.991279576395706
Mask-SC-oracle,88,5,0.7605822952006872,0.0,0.2394177047993128,3.0,4.0,3.990195373826798
Mask-SC-oracle,88,6,0.8043570401391814,0.0,0.1956429598608186,4.0,5.0,4.987479610693908
Mask-SC-oracle,88,7,0.8343474294003479,0.0,0.16565257059965213,5.0,6.0,5.986009947838377
Mask-SC-oracle,88,8,0.85537527452815,0.0,0.14462472547184999,6.0,7.0,6.980800920819095
Mask-SC-oracle,89,3,0.5161111168228174,0.0,0.4838888831771826,1.0,2.0,1.9951777318703865
Mask-SC-oracle,89,4,0.677988526499336,0.0,0.32201147350066395,2.0,3.0,2.992929676450165
Mask-SC-oracle,89,5,0.7600622893755774,0.0,0.23993771062442257,3.0,4.0,3.9904499972945495
Mask-SC-oracle,89,6,0.7993316789707682,0.0,0.20066832102923185,4.0,5.0,4.981832172613193
Mask-SC-oracle,89,7,0.8319449870310791,0.0,0.16805501296892095,5.0,6.0,5.98178472793477
Mask-SC-oracle,89,8,0.8528731836831767,0.0,0.14712681631682328,6.0,7.0,6.980904015891109
Mask-SC-oracle,90,3,0.5197599633778942,0.0,0.48024003662210585,1.0,2.0,1.9941981035692689
Mask-SC-oracle,90,4,0.6800013651964977,0.0,0.3199986348035023,2.0,3.0,2.993284436624353
Mask-SC-oracle,90,5,0.7600873822090359,0.0,0.23991261779096407,3.0,4.0,3.9907731579939316
Mask-SC-oracle,90,6,0.8015003739241477,0.0,0.19849962607585225,4.0,5.0,4.9862337965714305
Mask-SC-oracle,90,7,0.8330726835595521,0.0,0.16692731644044795,5.0,6.0,5.983816681956563
Mask-SC-oracle,90,8,0.8546611578256024,0.0,0.1453388421743976,6.0,7.0,6.978879768490604
Mask-SC-oracle,91,3,0.5207124881674233,0.0,0.4792875118325767,1.0,2.0,1.9949123299293408
Mask-SC-oracle,91,4,0.6804470802238565,0.0,0.3195529197761436,2.0,3.0,2.993676579581189
Mask-SC-oracle,91,5,0.7586756152180385,0.0,0.2413243847819615,3.0,4.0,3.9924278568326943
Mask-SC-oracle,91,6,0.8035200635760815,0.0,0.19647993642391853,4.0,5.0,4.988820066813647
Mask-SC-oracle,91,7,0.8304587290423375,0.0,0.16954127095766247,5.0,6.0,5.983314319242275
Mask-SC-oracle,91,8,0.8537261127736082,0.0,0.14627388722639179,6.0,7.0,6.976723465013878
Mask-SC-oracle,92,3,0.5190542373636303,0.0,0.4809457626363697,1.0,2.0,1.9945351743787312
Mask-SC-oracle,92,4,0.6802249189864008,0.0,0.31977508101359914,2.0,3.0,2.9927222131400986
Mask-SC-oracle,92,5,0.7601527641626219,0.0,0.2398472358373781,3.0,4.0,3.991421806412678
Mask-SC-oracle,92,6,0.8019051532410877,0.0,0.1980948467589123,4.0,5.0,4.9875574007890915
Mask-SC-oracle,92,7,0.8328683182350549,0.0,0.167131681764945,5.0,6.0,5.985612587661262
Mask-SC-oracle,92,8,0.8536214707055418,0.0,0.14637852929445813,6.0,7.0,6.9805908047695695
