method,seed,run_dir,task_idx,task_name,family,depth,layer,component_idx,component_role,beta_logit,beta_weight,selected_prior_count,effective_n,source
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.phi_body.layers.2,1,same_family,0.15450306236743927,0.4939184952903146,1,1.9997041661690298,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.phi_body.layers.2,5,current,0.17883028090000153,0.5060815047096854,1,1.9997041661690298,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.fc_action,1,same_family,0.1612180918455124,0.4972757370642603,1,1.999940628894172,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.fc_action,5,current,0.1721152514219284,0.5027242629357397,1,1.999940628894172,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.fc_critic,1,same_family,0.18044652044773102,0.5068894808949552,1,1.999620352503778,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.fc_critic,5,current,0.15288685262203217,0.4931105191050447,1,1.999620352503778,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.0,2,same_family,0.1450471580028534,0.5010950063544276,1,1.9999904077346764,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.0,6,current,0.140667125582695,0.4989049936455724,1,1.9999904077346764,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.1,2,same_family,0.14168474078178406,0.49941379603780184,1,1.999997250923096,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.1,6,current,0.14402955770492554,0.5005862039621982,1,1.999997250923096,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.2,2,same_family,0.13560529053211212,0.4963741342049242,1,1.9998948303085118,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.phi_body.layers.2,6,current,0.15010900795459747,0.5036258657950757,1,1.9998948303085118,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.fc_action,2,same_family,0.13009774684906006,0.4936206524397909,1,1.9996744843864802,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.fc_action,6,current,0.15561652183532715,0.5063793475602091,1,1.9996744843864802,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.fc_critic,2,same_family,0.15675972402095795,0.5069508432960447,1,1.999613560901809,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,6,F3-D3,F3,3,network.fc_critic,6,current,0.12895455956459045,0.49304915670395527,1,1.999613560901809,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.0,3,same_family,0.18821047246456146,0.5315632163124011,1,1.992061740547322,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.0,7,current,0.06178950145840645,0.468436783687599,1,1.992061740547322,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,7,F4-D3,F4,3,network.phi_body.layers.1,3,same_family,0.2040632665157318,0.5394496234381209,1,1.9876268417229068,checkpoint_reconstruction
