method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-oracle,4,F1-D3,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,support_fraction,0.25,0.25,0.25,7
Mask-SC-oracle,4,F1-D3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,cap_utilization,,,,0
Mask-SC-oracle,4,F1-D3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,raw_cap_utilization,,,,0
Mask-SC-oracle,4,F1-D3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,selected_similarity_mean,,,,0
Mask-SC-oracle,4,F1-D3,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,4,F1-D3,threshold_qualified_count,,,,0
Mask-SC-oracle,4,F1-D3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,4,F1-D3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,5,F2-D3,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,support_fraction,0.19999999999999996,0.19999999999999996,0.19999999999999996,7
Mask-SC-oracle,5,F2-D3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,cap_utilization,,,,0
Mask-SC-oracle,5,F2-D3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,raw_cap_utilization,,,,0
Mask-SC-oracle,5,F2-D3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,selected_similarity_mean,,,,0
Mask-SC-oracle,5,F2-D3,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,5,F2-D3,threshold_qualified_count,,,,0
Mask-SC-oracle,5,F2-D3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,5,F2-D3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,6,F3-D3,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,support_fraction,0.1666666666666667,0.1666666666666667,0.1666666666666667,7
Mask-SC-oracle,6,F3-D3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,cap_utilization,,,,0
Mask-SC-oracle,6,F3-D3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,raw_cap_utilization,,,,0
Mask-SC-oracle,6,F3-D3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,selected_similarity_mean,,,,0
Mask-SC-oracle,6,F3-D3,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,6,F3-D3,threshold_qualified_count,,,,0
Mask-SC-oracle,6,F3-D3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,6,F3-D3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,7,F4-D3,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,support_fraction,0.1428571428571428,0.1428571428571428,0.1428571428571428,7
Mask-SC-oracle,7,F4-D3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,cap_utilization,,,,0
Mask-SC-oracle,7,F4-D3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,raw_cap_utilization,,,,0
Mask-SC-oracle,7,F4-D3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,selected_similarity_mean,,,,0
Mask-SC-oracle,7,F4-D3,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,7,F4-D3,threshold_qualified_count,,,,0
Mask-SC-oracle,7,F4-D3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,7,F4-D3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,8,F1-D4,support_size,2.0,2.0,2.0,7
Mask-SC-oracle,8,F1-D4,support_fraction,0.25,0.25,0.25,7
Mask-SC-oracle,8,F1-D4,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,8,F1-D4,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,8,F1-D4,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,8,F1-D4,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,8,F1-D4,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,8,F1-D4,jaccard_stability,1.0,1.0,1.0,7
