method,depth,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-oracle,3,support_size,1.0,1.0,1.0,7
Mask-SC-oracle,3,support_fraction,0.18988095238095237,0.18988095238095237,0.18988095238095237,7
Mask-SC-oracle,3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,3,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,3,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,3,cap_utilization,,,,0
Mask-SC-oracle,3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-oracle,3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,3,raw_cap_utilization,,,,0
Mask-SC-oracle,3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,3,selected_similarity_mean,,,,0
Mask-SC-oracle,3,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,3,threshold_qualified_count,,,,0
Mask-SC-oracle,3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,4,support_size,2.0,2.0,2.0,7
Mask-SC-oracle,4,support_fraction,0.21351010101010104,0.21351010101010104,0.21351010101010104,7
Mask-SC-oracle,4,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,4,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,4,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,4,cap_utilization,,,,0
Mask-SC-oracle,4,raw_support_size,2.0,2.0,2.0,7
Mask-SC-oracle,4,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,4,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,4,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,4,raw_cap_utilization,,,,0
Mask-SC-oracle,4,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,4,selected_similarity_mean,,,,0
Mask-SC-oracle,4,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,4,threshold_qualified_count,,,,0
Mask-SC-oracle,4,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,4,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,4,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,5,support_size,3.0,3.0,3.0,7
Mask-SC-oracle,5,support_fraction,0.2237637362637362,0.22376373626373613,0.22376373626373625,7
Mask-SC-oracle,5,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,5,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,5,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,5,cap_utilization,,,,0
Mask-SC-oracle,5,raw_support_size,3.0,3.0,3.0,7
Mask-SC-oracle,5,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,5,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,5,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,5,raw_cap_utilization,,,,0
Mask-SC-oracle,5,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,5,selected_similarity_mean,,,,0
Mask-SC-oracle,5,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,5,threshold_qualified_count,,,,0
Mask-SC-oracle,5,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,5,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,5,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,6,support_size,4.0,4.0,4.0,7
Mask-SC-oracle,6,support_fraction,0.22951066391468866,0.22951066391468866,0.22951066391468866,7
Mask-SC-oracle,6,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,6,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,6,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,6,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,6,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,6,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,6,cap_utilization,,,,0
Mask-SC-oracle,6,raw_support_size,4.0,4.0,4.0,7
Mask-SC-oracle,6,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,6,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,6,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,6,raw_cap_utilization,,,,0
Mask-SC-oracle,6,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,6,selected_similarity_mean,,,,0
Mask-SC-oracle,6,raw_selected_similarity_mean,,,,0
Mask-SC-oracle,6,threshold_qualified_count,,,,0
Mask-SC-oracle,6,first_correct_found,1.0,1.0,1.0,7
Mask-SC-oracle,6,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-oracle,6,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-oracle,7,support_size,5.0,5.0,5.0,7
Mask-SC-oracle,7,support_fraction,0.2331898174289478,0.23318981742894776,0.23318981742894782,7
Mask-SC-oracle,7,same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,7,same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,7,any_same_family,1.0,1.0,1.0,7
Mask-SC-oracle,7,parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,7,family_pure_support,1.0,1.0,1.0,7
Mask-SC-oracle,7,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-oracle,7,cap_utilization,,,,0
Mask-SC-oracle,7,raw_support_size,5.0,5.0,5.0,7
Mask-SC-oracle,7,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-oracle,7,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-oracle,7,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-oracle,7,raw_cap_utilization,,,,0
Mask-SC-oracle,7,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-oracle,7,selected_similarity_mean,,,,0
