threshold,selection_cap,n_seeds,n_seed_tasks,support_size,same_family_precision,same_family_recall,any_same_family,parent_selected,jaccard_stability
0.5,4,7,84,3.9942619047619052,0.4925049603174604,0.9885277777777777,1.0,0.9944285714285714,0.9601581740470645
0.6,4,7,84,3.8080238095238097,0.5080555555555554,0.9885277777777777,1.0,0.9944285714285714,0.9586961961961976
0.7,4,7,84,2.892369047619048,0.7006413239538235,0.9402341269841267,0.9741309523809524,0.9685476190476191,0.9504446907224692
0.75,4,7,84,1.986559523809524,0.9136661048148186,0.8549464285714283,0.9327380952380951,0.9214166666666666,0.9377127127127125
0.8,4,7,84,1.4323809523809523,0.9833036122262849,0.6806507936507936,0.8070595238095237,0.7872261904761906,0.9463928213928213
0.85,4,7,84,0.7798333333333334,0.99995670995671,0.3511964285714286,0.5164642857142858,0.5045476190476189,0.9345297678631012
0.9,4,7,84,0.363,1.0,0.1473829365079365,0.27486904761904757,0.2736071428571428,0.9571774155107489
0.95,4,7,84,0.13778571428571426,1.0,0.054386904761904734,0.10170238095238095,0.09479761904761906,0.9820534820534821
