method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,selected_similarity_mean,0.8215591935186752,0.7970441014062366,0.8460742856311139,7
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,raw_selected_similarity_mean,0.8215591935186752,0.7970441014062366,0.8460742856311139,7
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,threshold_qualified_count,1.1032857142857144,0.6486025835965131,1.5579688449749156,7
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,selection_events_until_first_correct,26.0,-23.0,75.0,7
Mask-SC-4,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,steps_until_first_correct,13312.0,-11776.0,38400.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,support_size,1.1247142857142858,0.9298207421236031,1.3196078293049684,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,support_fraction,0.18745238095238095,0.15497012368726718,0.21993463821749473,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,same_family_precision,0.9332322404371584,0.8306697291993491,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,same_family_recall,0.9937142857142857,0.9866770514090585,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,any_same_family,0.9937142857142857,0.9866770514090585,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,parent_selected,0.9937142857142857,0.9866770514090585,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,family_pure_support,0.863142857142857,0.6575116247550377,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,jaccard_stability,0.9696363029696363,0.9329680650643486,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,cap_utilization,0.28117857142857144,0.23245518553090078,0.3299019573262421,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_support_size,1.1247142857142858,0.9298207421236031,1.3196078293049684,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_same_family_precision,0.9332322404371584,0.8306697291993491,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_same_family_recall,0.9937142857142857,0.9866770514090585,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_parent_selected,0.9937142857142857,0.9866770514090585,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_cap_utilization,0.28117857142857144,0.23245518553090078,0.3299019573262421,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,selected_similarity_mean,0.8086383379652352,0.7910010721667005,0.82627560376377,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,raw_selected_similarity_mean,0.8086383379652352,0.7910010721667005,0.82627560376377,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,threshold_qualified_count,1.1247142857142858,0.9298207421236031,1.3196078293049684,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,first_correct_found,1.0,1.0,1.0,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,selection_events_until_first_correct,1.1428571428571428,0.8628571428571428,1.4228571428571428,7
Mask-SC-4,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,steps_until_first_correct,585.1428571428571,441.7828571428571,728.5028571428571,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,support_size,0.5002857142857142,0.18740850557064442,0.813162923000784,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,support_fraction,0.07146938775510202,0.026772643652949214,0.11616613185725483,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,same_family_precision,0.9947540983606558,0.984472131147541,1.0,5
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,same_family_recall,0.49900000000000005,0.18560452502734937,0.8123954749726507,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,any_same_family,0.49900000000000005,0.18560452502734937,0.8123954749726507,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,parent_selected,0.49900000000000005,0.18560452502734937,0.8123954749726507,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,family_pure_support,0.4987142857142857,0.18520100603807593,0.8122275653904956,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,jaccard_stability,0.9077649077649078,0.8207876548765952,0.9947421606532204,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,cap_utilization,0.12507142857142856,0.046852126392661106,0.203290730750196,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_support_size,0.5002857142857142,0.18740850557064442,0.813162923000784,7
Mask-SC-4,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,raw_same_family_precision,0.9947540983606558,0.984472131147541,1.0,5
