method,seed,run_dir,task_idx,task_name,family,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,effective_n,active_component_count
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,0.5189587646563601,0.0,0.48104123534363985,1.0,1.9773697958365144,2.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,0.555443656048586,0.0,0.44455634395141397,1.0,1.9697024932143954,2.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,0.5994483389642123,0.0,0.40055166103578765,1.0,1.898799606761576,2.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.6384780559730867,0.0,0.3615219440269133,1.0,1.8061737061602607,2.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.724441711482525,0.0,0.27555828851747494,2.0,2.898159003558737,3.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.6761825110845491,0.0,0.3238174889154509,2.0,2.9720633720597887,3.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.7520938559767543,0.0,0.2479061440232458,2.0,2.8461055308125247,3.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,0.7421554452695774,0.0,0.25784455473042256,2.0,2.8596506796751484,3.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,BallLava,5,0.6625430973831834,0.1676446042448724,0.16981229837194417,4.0,4.888495423609066,5.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,13,CurriculumMultiRoomObjectRemapEnv-LavaBall-R5-v0,LavaBall,5,0.7852858655019547,0.0,0.21471413449804538,3.0,3.8309556135017546,4.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,14,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R5-v0,KeyBoxSwap,5,0.8102363808299131,0.0,0.1897636191700869,3.0,3.8910584562408532,4.0
Mask-SC-4,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260619-132014,15,CurriculumMultiRoomObjectRemapEnv-Identity-R5-v0,Identity,5,0.7880333983162867,0.0,0.21196660168371326,3.0,3.9274677322665794,4.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,0.5657493213911492,0.0,0.4342506786088509,1.0,1.9532858706780076,2.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,0.4653499125561827,0.0,0.5346500874438174,1.0,1.9799932639636402,2.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,0.5734871720659702,0.0,0.42651282793402984,1.0,1.9538833712312216,2.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.0,0.0,1.0,0.0,1.0,1.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.6155925594417772,0.0,0.38440744055822285,2.0,2.957801922091723,3.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.6957622654814368,0.0,0.3042377345185633,2.0,2.895930269216733,3.0
Mask-SC-4,87,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/mg16-interleaved-MaskSC-4-thesis/Minigrid-ppo-supermask-87-mask-linear_comb-no_task_label-mg10/260619-132014,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.644073041223342,0.0,0.3559269587766581,2.0,2.990309634210278,3.0
