method,seed,task_idx,support_size,count
Mask-SC-4,86,4,1,1000
Mask-SC-4,86,5,1,271
Mask-SC-4,86,5,2,585
Mask-SC-4,86,5,3,144
Mask-SC-4,86,6,0,4
Mask-SC-4,86,6,1,996
Mask-SC-4,86,7,1,1000
Mask-SC-4,86,8,2,761
Mask-SC-4,86,8,3,239
Mask-SC-4,86,9,1,1
Mask-SC-4,86,9,2,999
Mask-SC-4,86,10,1,6
Mask-SC-4,86,10,2,994
Mask-SC-4,86,11,2,1000
Mask-SC-4,86,12,1,1
Mask-SC-4,86,12,3,207
Mask-SC-4,86,12,4,792
Mask-SC-4,86,13,3,762
Mask-SC-4,86,13,4,238
Mask-SC-4,86,14,2,21
Mask-SC-4,86,14,3,979
Mask-SC-4,86,15,0,37
Mask-SC-4,86,15,1,56
Mask-SC-4,86,15,2,162
Mask-SC-4,86,15,3,745
Mask-SC-4,87,4,1,1000
Mask-SC-4,87,5,0,595
Mask-SC-4,87,5,1,405
Mask-SC-4,87,6,0,24
Mask-SC-4,87,6,1,241
Mask-SC-4,87,6,2,734
Mask-SC-4,87,6,3,1
Mask-SC-4,87,7,0,506
Mask-SC-4,87,7,1,494
Mask-SC-4,87,8,2,1000
Mask-SC-4,87,9,2,1000
Mask-SC-4,87,10,0,8
Mask-SC-4,87,10,1,212
Mask-SC-4,87,10,2,346
Mask-SC-4,87,10,3,434
Mask-SC-4,87,11,0,2
Mask-SC-4,87,11,1,560
Mask-SC-4,87,11,2,438
Mask-SC-4,87,12,2,2
Mask-SC-4,87,12,3,993
Mask-SC-4,87,12,4,5
Mask-SC-4,87,13,0,3
Mask-SC-4,87,13,1,122
Mask-SC-4,87,13,2,551
Mask-SC-4,87,13,3,175
Mask-SC-4,87,13,4,149
Mask-SC-4,87,14,1,15
Mask-SC-4,87,14,2,234
Mask-SC-4,87,14,3,376
Mask-SC-4,87,14,4,375
Mask-SC-4,87,15,1,2
Mask-SC-4,87,15,2,175
Mask-SC-4,87,15,3,823
Mask-SC-4,88,4,1,1000
Mask-SC-4,88,5,0,1
Mask-SC-4,88,5,1,998
Mask-SC-4,88,5,2,1
Mask-SC-4,88,6,0,15
Mask-SC-4,88,6,1,985
Mask-SC-4,88,7,0,695
Mask-SC-4,88,7,1,303
Mask-SC-4,88,7,2,2
Mask-SC-4,88,8,2,1000
Mask-SC-4,88,9,0,61
Mask-SC-4,88,9,1,233
Mask-SC-4,88,9,2,676
Mask-SC-4,88,9,3,26
Mask-SC-4,88,9,4,4
Mask-SC-4,88,10,1,149
Mask-SC-4,88,10,2,849
Mask-SC-4,88,10,3,2
Mask-SC-4,88,11,1,734
Mask-SC-4,88,11,2,264
Mask-SC-4,88,11,3,2
Mask-SC-4,88,12,3,1000
Mask-SC-4,88,13,1,52
Mask-SC-4,88,13,2,142
Mask-SC-4,88,13,3,647
Mask-SC-4,88,13,4,159
Mask-SC-4,88,14,0,21
Mask-SC-4,88,14,1,44
Mask-SC-4,88,14,2,237
Mask-SC-4,88,14,3,696
Mask-SC-4,88,14,4,2
Mask-SC-4,88,15,2,756
Mask-SC-4,88,15,3,244
Mask-SC-4,89,4,0,3
Mask-SC-4,89,4,1,356
Mask-SC-4,89,4,2,641
Mask-SC-4,89,5,1,157
Mask-SC-4,89,5,2,843
Mask-SC-4,89,6,1,997
Mask-SC-4,89,6,2,2
Mask-SC-4,89,6,3,1
Mask-SC-4,89,7,0,1000
Mask-SC-4,89,8,1,14
Mask-SC-4,89,8,2,132
Mask-SC-4,89,8,3,465
Mask-SC-4,89,8,4,389
Mask-SC-4,89,9,2,124
Mask-SC-4,89,9,3,81
Mask-SC-4,89,9,4,795
Mask-SC-4,89,10,1,10
Mask-SC-4,89,10,2,941
Mask-SC-4,89,10,3,19
Mask-SC-4,89,10,4,30
Mask-SC-4,89,11,1,1000
Mask-SC-4,89,12,4,1000
Mask-SC-4,89,13,3,109
Mask-SC-4,89,13,4,891
Mask-SC-4,89,14,1,14
Mask-SC-4,89,14,2,101
Mask-SC-4,89,14,3,44
Mask-SC-4,89,14,4,841
Mask-SC-4,89,15,2,1000
Mask-SC-4,90,4,0,15
Mask-SC-4,90,4,1,985
Mask-SC-4,90,5,0,689
Mask-SC-4,90,5,1,305
Mask-SC-4,90,5,2,6
Mask-SC-4,90,6,1,1000
Mask-SC-4,90,7,0,286
Mask-SC-4,90,7,1,714
Mask-SC-4,90,8,0,1
Mask-SC-4,90,8,1,1
Mask-SC-4,90,8,2,998
Mask-SC-4,90,9,0,13
Mask-SC-4,90,9,1,272
Mask-SC-4,90,9,2,513
Mask-SC-4,90,9,3,114
Mask-SC-4,90,9,4,88
Mask-SC-4,90,10,2,1000
Mask-SC-4,90,11,0,31
Mask-SC-4,90,11,1,520
Mask-SC-4,90,11,2,449
Mask-SC-4,90,12,3,186
Mask-SC-4,90,12,4,814
Mask-SC-4,90,13,1,2
Mask-SC-4,90,13,2,329
Mask-SC-4,90,13,3,587
Mask-SC-4,90,13,4,82
Mask-SC-4,90,14,1,8
Mask-SC-4,90,14,2,76
Mask-SC-4,90,14,3,916
Mask-SC-4,90,15,0,499
Mask-SC-4,90,15,1,318
Mask-SC-4,90,15,2,176
Mask-SC-4,90,15,3,7
Mask-SC-4,91,4,1,991
Mask-SC-4,91,4,2,9
Mask-SC-4,91,5,1,882
Mask-SC-4,91,5,2,116
Mask-SC-4,91,5,3,2
Mask-SC-4,91,6,1,885
Mask-SC-4,91,6,2,115
Mask-SC-4,91,7,0,1000
Mask-SC-4,91,8,2,695
Mask-SC-4,91,8,3,201
Mask-SC-4,91,8,4,104
Mask-SC-4,91,9,1,13
Mask-SC-4,91,9,2,31
Mask-SC-4,91,9,3,35
Mask-SC-4,91,9,4,921
Mask-SC-4,91,10,1,9
Mask-SC-4,91,10,2,71
Mask-SC-4,91,10,3,277
Mask-SC-4,91,10,4,643
Mask-SC-4,91,11,1,1000
Mask-SC-4,91,12,3,1
Mask-SC-4,91,12,4,999
Mask-SC-4,91,13,3,411
Mask-SC-4,91,13,4,589
Mask-SC-4,91,14,2,847
Mask-SC-4,91,14,3,3
Mask-SC-4,91,14,4,150
Mask-SC-4,91,15,2,1000
Mask-SC-4,92,4,1,949
Mask-SC-4,92,4,2,51
Mask-SC-4,92,5,1,886
Mask-SC-4,92,5,2,63
Mask-SC-4,92,5,3,51
Mask-SC-4,92,6,1,939
