method,seed,run_dir,task_idx,task_name,family,depth,num_selection_events,relevant_prior_count,support_size,support_fraction,same_family_precision,same_family_recall,any_same_family,jaccard_stability,first_correct_found,selection_events_until_first_correct,steps_until_first_correct,steps_after_first_selection_until_first_correct
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,0,A-D2,A,2,0,0,0.0,,,,,,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,1,B-D2,B,2,100,0,1.0,1.0,0.0,,,1.0,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,2,C-D2,C,2,100,0,1.01,0.505,0.0,,,0.9797979797979798,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,3,D-D2,D,2,100,0,1.0,0.3333333333333334,0.0,,,1.0,,,,
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,4,A-D3,A,3,100,1,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,5,B-D3,B,3,100,1,1.0,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,6,C-D3,C,3,100,1,1.0,0.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,7,D-D3,D,3,100,1,1.0,0.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,8,A-D4,A,4,100,2,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,9,B-D4,B,4,100,2,2.0,0.22222222222222224,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,10,C-D4,C,4,100,2,2.0,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,11,D-D4,D,4,100,2,2.0,0.1818181818181819,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,12,A-D5,A,5,100,3,3.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,13,B-D5,B,5,100,3,2.96,0.22769230769230767,1.0,0.9866666666666667,1.0,0.9797979797979798,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,14,C-D5,C,5,100,3,2.7,0.19285714285714284,1.0,0.9,1.0,0.8653198653198654,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,15,D-D5,D,5,100,3,3.0,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,16,A-D6,A,6,100,4,3.54,0.22125,1.0,0.885,1.0,0.8207070707070708,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,17,B-D6,B,6,100,4,3.6,0.2117647058823529,1.0,0.9,1.0,0.8888888888888888,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,18,C-D6,C,6,100,4,3.44,0.19111111111111112,1.0,0.86,1.0,0.8745791245791246,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,19,D-D6,D,6,100,4,3.55,0.18684210526315786,1.0,0.8875,1.0,0.8232323232323232,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,20,A-D7,A,7,100,5,4.39,0.21950000000000003,1.0,0.8780000000000001,1.0,0.8575757575757577,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,21,B-D7,B,7,100,5,4.11,0.1957142857142857,1.0,0.8219999999999998,1.0,0.8909090909090908,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,22,C-D7,C,7,100,5,2.42,0.11,1.0,0.48400000000000015,1.0,0.8350168350168349,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,23,D-D7,D,7,100,5,3.15,0.1369565217391304,1.0,0.6299999999999999,1.0,0.9505050505050504,1.0,1.0,512.0,0.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-lwe-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260622-121148,24,A-D8,A,8,100,6,4.51,0.1879166666666667,1.0,0.7516666666666668,1.0,0.8037037037037038,1.0,1.0,512.0,0.0
