method,task_idx,task_name,metric,mean,ci_low,ci_high,n_seeds
AMSC-no-norm,0,A-D2,support_size,0.0,0.0,0.0,7
AMSC-no-norm,0,A-D2,support_fraction,,,,0
AMSC-no-norm,0,A-D2,same_family_precision,,,,0
AMSC-no-norm,0,A-D2,same_family_recall,,,,0
AMSC-no-norm,0,A-D2,any_same_family,,,,0
AMSC-no-norm,0,A-D2,jaccard_stability,,,,0
AMSC-no-norm,0,A-D2,first_correct_found,,,,0
AMSC-no-norm,0,A-D2,selection_events_until_first_correct,,,,0
AMSC-no-norm,0,A-D2,steps_until_first_correct,,,,0
AMSC-no-norm,1,B-D2,support_size,1.0,1.0,1.0,7
AMSC-no-norm,1,B-D2,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,1,B-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-no-norm,1,B-D2,same_family_recall,,,,0
AMSC-no-norm,1,B-D2,any_same_family,,,,0
AMSC-no-norm,1,B-D2,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,1,B-D2,first_correct_found,,,,0
AMSC-no-norm,1,B-D2,selection_events_until_first_correct,,,,0
AMSC-no-norm,1,B-D2,steps_until_first_correct,,,,0
AMSC-no-norm,2,C-D2,support_size,2.0,2.0,2.0,7
AMSC-no-norm,2,C-D2,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,2,C-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-no-norm,2,C-D2,same_family_recall,,,,0
AMSC-no-norm,2,C-D2,any_same_family,,,,0
AMSC-no-norm,2,C-D2,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,2,C-D2,first_correct_found,,,,0
AMSC-no-norm,2,C-D2,selection_events_until_first_correct,,,,0
AMSC-no-norm,2,C-D2,steps_until_first_correct,,,,0
AMSC-no-norm,3,D-D2,support_size,3.0,3.0,3.0,7
AMSC-no-norm,3,D-D2,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,3,D-D2,same_family_precision,0.0,0.0,0.0,7
AMSC-no-norm,3,D-D2,same_family_recall,,,,0
AMSC-no-norm,3,D-D2,any_same_family,,,,0
AMSC-no-norm,3,D-D2,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,3,D-D2,first_correct_found,,,,0
AMSC-no-norm,3,D-D2,selection_events_until_first_correct,,,,0
AMSC-no-norm,3,D-D2,steps_until_first_correct,,,,0
AMSC-no-norm,4,A-D3,support_size,4.0,4.0,4.0,7
AMSC-no-norm,4,A-D3,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,same_family_precision,0.25,0.25,0.25,7
AMSC-no-norm,4,A-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,4,A-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,5,B-D3,support_size,5.0,5.0,5.0,7
AMSC-no-norm,5,B-D3,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,same_family_precision,0.19999999999999996,0.19999999999999996,0.19999999999999996,7
AMSC-no-norm,5,B-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,5,B-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,6,C-D3,support_size,6.0,6.0,6.0,7
AMSC-no-norm,6,C-D3,support_fraction,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,same_family_precision,0.1666666666666667,0.1666666666666667,0.1666666666666667,7
AMSC-no-norm,6,C-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,jaccard_stability,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,6,C-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,7,D-D3,support_size,6.998571428571429,6.995771428571429,7.001371428571429,7
AMSC-no-norm,7,D-D3,support_fraction,0.999795918367347,0.9993959183673471,1.0,7
AMSC-no-norm,7,D-D3,same_family_precision,0.14289115646258496,0.1428244897959183,0.14295782312925162,7
AMSC-no-norm,7,D-D3,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,7,D-D3,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,7,D-D3,jaccard_stability,0.9995877138734282,0.9987796330653473,1.0,7
AMSC-no-norm,7,D-D3,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,7,D-D3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,7,D-D3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,8,A-D4,support_size,5.0600000000000005,4.764170138987515,5.355829861012486,7
AMSC-no-norm,8,A-D4,support_fraction,0.6325000000000001,0.5955212673734394,0.6694787326265608,7
AMSC-no-norm,8,A-D4,same_family_precision,0.4072857142857144,0.38260626774650935,0.4319651608249195,7
AMSC-no-norm,8,A-D4,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,8,A-D4,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,8,A-D4,jaccard_stability,0.918037518037518,0.906069280191548,0.930005755883488,7
AMSC-no-norm,8,A-D4,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,8,A-D4,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,8,A-D4,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,9,B-D4,support_size,5.648571428571429,5.438932628091492,5.858210229051365,7
AMSC-no-norm,9,B-D4,support_fraction,0.6276190476190476,0.6043258475657213,0.650912247672374,7
AMSC-no-norm,9,B-D4,same_family_precision,0.3571791383219955,0.34348930381882203,0.37086897282516895,7
AMSC-no-norm,9,B-D4,same_family_recall,1.0,1.0,1.0,7
