current_family,A,B,C,D
A,1.0,0.0,0.0,0.0
B,0.05442388431037164,0.9455761156896284,0.0,0.0
C,0.0022066198595787363,0.06820461384152457,0.9295887662988966,0.0
D,0.0,0.05321979776476849,0.0,0.9467802022352315
