method,seed,run_dir,task_idx,task_name,family,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,effective_n,active_component_count
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,4,A-D3,A,3,0.20717602628815818,0.589564788068119,0.20325918564372292,4.0,4.99424858064185,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,5,B-D3,B,3,0.17049235372611865,0.6528316111010646,0.17667603517281677,5.0,5.960055187284924,6.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,6,C-D3,C,3,0.14303494944685902,0.7060660016398616,0.15089904891327935,6.0,6.961800523897184,7.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,7,D-D3,D,3,0.13672500678245952,0.7328183906372009,0.13045660258033964,7.0,7.965622144050589,8.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,8,A-D4,A,4,0.4080919157178191,0.3924238888128765,0.19948419546930443,4.0,4.987760518494253,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,9,B-D4,B,4,0.34473905896319806,0.4874496484477205,0.16781129258908153,5.0,5.975571706005132,6.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,10,C-D4,C,4,0.21681810495402196,0.660840932093582,0.12234096295239597,8.0,8.98382209217134,9.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,11,D-D4,D,4,0.29383940736195846,0.5673884256674443,0.13877216697059733,6.0,6.991545288998445,7.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,12,A-D5,A,5,0.5062470671922717,0.32893402698958535,0.16481890581814296,5.0,5.99515472602309,6.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,13,B-D5,B,5,0.7621310666276264,0.0,0.23786893337237353,3.0,3.9942825347247335,4.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,14,C-D5,C,5,0.7350959824133618,0.0,0.2649040175866381,3.0,3.9932366559876002,4.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,15,D-D5,D,5,0.765119268090905,0.0,0.23488073190909503,3.0,3.989549481883375,4.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,16,A-D6,A,6,0.8037670297261504,0.0,0.1962329702738495,4.0,4.994203488513839,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,17,B-D6,B,6,0.8067940463894872,0.0,0.19320595361051296,4.0,4.9948984360408275,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,18,C-D6,C,6,0.7901934611390198,0.0,0.20980653886098027,4.0,4.987417459860715,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,19,D-D6,D,6,0.8186467361301977,0.0,0.18135326386980216,4.0,4.983246786647856,5.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,20,A-D7,A,7,0.8305237345729706,0.0,0.16947626542702934,5.0,5.986427485630775,6.0
AMSC-no-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/ct28-interleaved-AMSC-no-norm/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md-no_norm/260622-180404,21,B-D7,B,7,0.832604113351394,0.0,0.1673958866486061,5.0,5.989727065651889,6.0
