current_family,A,B,C,D
A,0.2500632324424585,0.24180085996121745,0.2547845881460248,0.2533513194502993
B,0.3017058645402241,0.23427879277278693,0.23478348642374078,0.2292318562632482
C,0.2895364513118324,0.2846624494451934,0.2112413149434823,0.21455978429949185
D,0.2643283312240101,0.27246429217139756,0.25501717591755557,0.2081902006870367
