current_family,A,B,C,D
A,0.7651866118369685,0.07506116287543595,0.12331476758107335,0.036437457706522305
B,0.06998067106110918,0.7285523120384596,0.1100262675323388,0.09144074936809238
C,0.1627926813664861,0.18309378598541393,0.6242589670320297,0.029854565616070285
D,0.0681076870648946,0.14780195706148677,0.06844846891582688,0.7156418869577917
