method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
AMSC-no-norm,86,3,0.16435708406089883,0.6703201978615615,0.16532271807753968,5.5,6.5,6.470431608968637
AMSC-no-norm,86,4,0.3158721217492494,0.5270257237554058,0.15710215449534481,5.75,6.75,6.734674901417293
AMSC-no-norm,86,5,0.6921483460810413,0.08223350674739634,0.22561814717156242,3.5,4.5,4.4930558496546995
AMSC-no-norm,86,6,0.8048503183462138,0.0,0.1951496816537862,4.0,5.0,4.989941542765809
AMSC-no-norm,86,7,0.8340621669650632,0.0,0.16593783303493687,5.0,6.0,5.987965873729421
AMSC-no-norm,86,8,0.8531605208562622,0.0,0.14683947914373793,6.0,7.0,6.9836417234649515
AMSC-no-norm,87,3,0.16416226894638147,0.6700344068857145,0.16580332416790408,5.5,6.5,6.474901343738373
AMSC-no-norm,87,4,0.3150187518503563,0.5306337585252024,0.15434748962444125,5.75,6.75,6.727175755755455
AMSC-no-norm,87,5,0.6204228840059749,0.1841213410234512,0.19545577497057398,4.5,5.5,5.486102824583877
AMSC-no-norm,87,6,0.8067580093907563,0.0,0.19324199060924369,4.0,5.0,4.991794104919922
AMSC-no-norm,87,7,0.8371669679793994,0.0,0.16283303202060057,5.0,6.0,5.990044104324664
AMSC-no-norm,87,8,0.8592079476253832,0.0,0.14079205237461678,6.0,7.0,6.985324667778925
AMSC-no-norm,88,3,0.1637409813873182,0.6727085475332097,0.163550471079472,5.5,6.5,6.477573101208494
AMSC-no-norm,88,4,0.33128658514196446,0.5017404874410253,0.1669729274170103,5.5,6.5,6.481910079969943
AMSC-no-norm,88,5,0.6042943259303154,0.19687472102902642,0.1988309530406582,4.75,5.75,5.736724221148955
AMSC-no-norm,88,6,0.801443805272928,0.0,0.19855619472707187,4.0,5.0,4.992098133721836
AMSC-no-norm,88,7,0.8321093627076054,0.0,0.1678906372923946,5.0,6.0,5.988409562424689
AMSC-no-norm,88,8,0.8563368907449408,0.0,0.14366310925505918,6.0,7.0,6.983189624515548
AMSC-no-norm,89,3,0.16435318620261208,0.6716400187765711,0.1640067950208168,5.5,6.5,6.473502515054063
AMSC-no-norm,89,4,0.30126123310094033,0.5500531453333971,0.14868562156566256,6.0,7.0,6.9811787365716675
AMSC-no-norm,89,5,0.6742357999963717,0.10481645072343566,0.22094774928019256,3.75,4.75,4.738214623223348
AMSC-no-norm,89,6,0.8055331774543787,0.0,0.19446682254562128,4.0,5.0,4.99136343522688
AMSC-no-norm,89,7,0.8361542749112625,0.0,0.16384572508873746,5.0,6.0,5.98728331672355
AMSC-no-norm,89,8,0.8546533430698703,0.0,0.14534665693012963,6.0,7.0,6.984944295244574
AMSC-no-norm,90,3,0.16615781485425413,0.6692454607626792,0.16459672438306674,5.5,6.5,6.468452194174691
AMSC-no-norm,90,4,0.3143957086686151,0.5323768813451814,0.1532274099862035,5.75,6.75,6.731632320539893
AMSC-no-norm,90,5,0.6201763382969363,0.18522360682892103,0.1946000548741427,4.25,5.25,5.233527809319551
