method,depth,metric,mean,ci_low,ci_high,n_seeds
AMSC-no-norm,3,support_size,5.499642857142858,5.498942857142858,5.500342857142858,7
AMSC-no-norm,3,support_fraction,0.9999489795918368,0.9998489795918368,1.0,7
AMSC-no-norm,3,same_family_precision,0.18988945578231292,0.18987278911564626,0.1899061224489796,7
AMSC-no-norm,3,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,3,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,3,jaccard_stability,0.9998969284683571,0.9996949082663369,1.0,7
AMSC-no-norm,3,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,3,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,3,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,4,support_size,5.758214285714287,5.615689632876026,5.900738938552547,7
AMSC-no-norm,4,support_fraction,0.6132602813852813,0.5996982895714421,0.6268222731991205,7
AMSC-no-norm,4,same_family_precision,0.3752123015873016,0.3551767948981215,0.39524780827648176,7
AMSC-no-norm,4,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,4,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,4,jaccard_stability,0.9646370164227307,0.9621737207327068,0.9671003121127546,7
AMSC-no-norm,4,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,4,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,4,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,5,support_size,3.5417857142857136,3.2516499989155903,3.831921429655837,7
AMSC-no-norm,5,support_fraction,0.2638477891156462,0.2430082008501557,0.2846873773811367,7
AMSC-no-norm,5,same_family_precision,0.9133159013605442,0.8695646659626427,0.9570671367584457,7
AMSC-no-norm,5,same_family_recall,1.0,1.0,1.0,7
AMSC-no-norm,5,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,5,jaccard_stability,0.9568373645754598,0.9433414788687741,0.9703332502821455,7
AMSC-no-norm,5,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,5,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,5,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-no-norm,6,support_size,4.0,4.0,4.0,7
AMSC-no-norm,6,support_fraction,0.22951066391468866,0.22951066391468866,0.22951066391468866,7
AMSC-no-norm,6,same_family_precision,1.0,1.0,1.0,7
AMSC-no-norm,6,same_family_recall,1.0,1.0,1.0,7
